graph,n,m,workers,batch,strategy,run,load_s,ordering_s,startup_s,compute_s,total_s,cliques,batches,busy_max,busy_min,busy_sum
tree n=20k,20000,19999,1,64,block,0,0.0082,0.0139,0.0760,0.0376,0.1275,19999,313,0.0340,0.0340,0.0340
tree n=20k,20000,19999,1,64,block,1,0.0082,0.0152,0.0515,0.0524,0.1192,19999,313,0.0463,0.0463,0.0463
tree n=20k,20000,19999,1,64,block,2,0.0082,0.0131,0.0676,0.0468,0.1275,19999,313,0.0420,0.0420,0.0420
tree n=20k,20000,19999,2,64,block,0,0.0082,0.0203,0.1271,0.0382,0.1856,19999,313,0.0338,0.0287,0.0624
tree n=20k,20000,19999,2,64,block,1,0.0082,0.0159,0.1079,0.0278,0.1515,19999,313,0.0245,0.0212,0.0457
tree n=20k,20000,19999,2,64,block,2,0.0082,0.0142,0.1099,0.0274,0.1516,19999,313,0.0245,0.0211,0.0456
tree n=20k,20000,19999,4,64,block,0,0.0082,0.0129,0.2177,0.0199,0.2505,19999,313,0.0175,0.0105,0.0629
tree n=20k,20000,19999,4,64,block,1,0.0082,0.0122,0.2131,0.0202,0.2455,19999,313,0.0181,0.0131,0.0666
tree n=20k,20000,19999,4,64,block,2,0.0082,0.0139,0.2045,0.0179,0.2364,19999,313,0.0158,0.0128,0.0600
tree n=20k,20000,19999,8,64,block,0,0.0082,0.0120,0.4002,0.0113,0.4236,19999,313,0.0093,0.0075,0.0695
tree n=20k,20000,19999,8,64,block,1,0.0082,0.0118,0.4396,0.0137,0.4652,19999,313,0.0097,0.0065,0.0727
tree n=20k,20000,19999,8,64,block,2,0.0082,0.0130,0.4039,0.0106,0.4276,19999,313,0.0089,0.0050,0.0659
grid 100x100,10000,19800,1,64,block,0,0.0040,0.0072,0.0501,0.0267,0.0840,19800,157,0.0242,0.0242,0.0242
grid 100x100,10000,19800,1,64,block,1,0.0040,0.0080,0.0541,0.0281,0.0902,19800,157,0.0254,0.0254,0.0254
grid 100x100,10000,19800,1,64,block,2,0.0040,0.0098,0.0479,0.0242,0.0819,19800,157,0.0223,0.0223,0.0223
grid 100x100,10000,19800,2,64,block,0,0.0040,0.0074,0.1090,0.0136,0.1301,19800,157,0.0122,0.0110,0.0232
grid 100x100,10000,19800,2,64,block,1,0.0040,0.0076,0.0962,0.0135,0.1173,19800,157,0.0122,0.0107,0.0229
grid 100x100,10000,19800,2,64,block,2,0.0040,0.0075,0.0971,0.0193,0.1239,19800,157,0.0173,0.0144,0.0317
grid 100x100,10000,19800,4,64,block,0,0.0040,0.0090,0.2026,0.0116,0.2232,19800,157,0.0102,0.0069,0.0375
grid 100x100,10000,19800,4,64,block,1,0.0040,0.0074,0.1887,0.0101,0.2061,19800,157,0.0090,0.0053,0.0320
grid 100x100,10000,19800,4,64,block,2,0.0040,0.0103,0.2002,0.0112,0.2217,19800,157,0.0100,0.0086,0.0385
grid 100x100,10000,19800,8,64,block,0,0.0040,0.0080,0.3872,0.0061,0.4013,19800,157,0.0050,0.0041,0.0375
grid 100x100,10000,19800,8,64,block,1,0.0040,0.0076,0.3901,0.0062,0.4039,19800,157,0.0053,0.0022,0.0374
grid 100x100,10000,19800,8,64,block,2,0.0040,0.0078,0.3944,0.0070,0.4092,19800,157,0.0053,0.0047,0.0398
er-sparse n=20k deg=10,20000,100000,1,64,block,0,0.0837,0.0549,0.0766,0.2131,0.3446,99692,313,0.2066,0.2066,0.2066
er-sparse n=20k deg=10,20000,100000,1,64,block,1,0.0837,0.0550,0.0750,0.1796,0.3096,99692,313,0.1754,0.1754,0.1754
er-sparse n=20k deg=10,20000,100000,1,64,block,2,0.0837,0.0487,0.0688,0.1790,0.2965,99692,313,0.1749,0.1749,0.1749
er-sparse n=20k deg=10,20000,100000,2,64,block,0,0.0837,0.0487,0.1302,0.0994,0.2784,99692,313,0.0966,0.0873,0.1839
er-sparse n=20k deg=10,20000,100000,2,64,block,1,0.0837,0.0469,0.1194,0.1019,0.2682,99692,313,0.0990,0.0915,0.1905
er-sparse n=20k deg=10,20000,100000,2,64,block,2,0.0837,0.0462,0.1188,0.0972,0.2622,99692,313,0.0948,0.0875,0.1824
er-sparse n=20k deg=10,20000,100000,4,64,block,0,0.0837,0.0462,0.2441,0.0671,0.3574,99692,313,0.0644,0.0560,0.2489
er-sparse n=20k deg=10,20000,100000,4,64,block,1,0.0837,0.0462,0.2418,0.0666,0.3545,99692,313,0.0640,0.0520,0.2432
er-sparse n=20k deg=10,20000,100000,4,64,block,2,0.0837,0.0480,0.2494,0.0652,0.3625,99692,313,0.0625,0.0552,0.2423
er-sparse n=20k deg=10,20000,100000,8,64,block,0,0.0837,0.0467,0.4845,0.0417,0.5730,99692,313,0.0389,0.0316,0.3018
er-sparse n=20k deg=10,20000,100000,8,64,block,1,0.0837,0.0453,0.4809,0.0374,0.5636,99692,313,0.0358,0.0285,0.2775
er-sparse n=20k deg=10,20000,100000,8,64,block,2,0.0837,0.0454,0.5107,0.0397,0.5958,99692,313,0.0378,0.0292,0.2889
ba-hubs n=20k m=5,20000,99985,1,64,block,0,0.0628,0.0291,0.0649,0.1791,0.2731,96947,313,0.1752,0.1752,0.1752
ba-hubs n=20k m=5,20000,99985,1,64,block,1,0.0628,0.0299,0.0689,0.1795,0.2783,96947,313,0.1757,0.1757,0.1757
ba-hubs n=20k m=5,20000,99985,1,64,block,2,0.0628,0.0284,0.0646,0.1807,0.2738,96947,313,0.1770,0.1770,0.1770
ba-hubs n=20k m=5,20000,99985,2,64,block,0,0.0628,0.0285,0.1108,0.0966,0.2359,96947,313,0.0925,0.0865,0.1791
ba-hubs n=20k m=5,20000,99985,2,64,block,1,0.0628,0.0304,0.1128,0.0982,0.2414,96947,313,0.0945,0.0873,0.1818
ba-hubs n=20k m=5,20000,99985,2,64,block,2,0.0628,0.0298,0.1116,0.0967,0.2382,96947,313,0.0945,0.0862,0.1806
ba-hubs n=20k m=5,20000,99985,4,64,block,0,0.0628,0.0312,0.2315,0.0615,0.3242,96947,313,0.0592,0.0502,0.2241
ba-hubs n=20k m=5,20000,99985,4,64,block,1,0.0628,0.0304,0.2293,0.0580,0.3177,96947,313,0.0560,0.0458,0.2113
ba-hubs n=20k m=5,20000,99985,4,64,block,2,0.0628,0.0279,0.2258,0.0592,0.3129,96947,313,0.0564,0.0489,0.2148
ba-hubs n=20k m=5,20000,99985,8,64,block,0,0.0628,0.0281,0.4655,0.0436,0.5373,96947,313,0.0422,0.0248,0.2987
ba-hubs n=20k m=5,20000,99985,8,64,block,1,0.0628,0.0288,0.4608,0.0456,0.5352,96947,313,0.0428,0.0330,0.3110
ba-hubs n=20k m=5,20000,99985,8,64,block,2,0.0628,0.0302,0.4716,0.0451,0.5469,96947,313,0.0420,0.0294,0.3124
er-dense n=120 p=0.5,120,3535,1,64,block,0,0.0044,0.0005,0.0434,0.1340,0.1779,34965,2,0.1336,0.1336,0.1336
er-dense n=120 p=0.5,120,3535,1,64,block,1,0.0044,0.0005,0.0433,0.1348,0.1786,34965,2,0.1344,0.1344,0.1344
er-dense n=120 p=0.5,120,3535,1,64,block,2,0.0044,0.0005,0.0427,0.1319,0.1751,34965,2,0.1316,0.1316,0.1316
er-dense n=120 p=0.5,120,3535,2,64,block,0,0.0044,0.0005,0.0530,0.1168,0.1703,34965,2,0.1165,0.0153,0.1319
er-dense n=120 p=0.5,120,3535,2,64,block,1,0.0044,0.0005,0.0459,0.1449,0.1913,34965,2,0.1443,0.0160,0.1602
er-dense n=120 p=0.5,120,3535,2,64,block,2,0.0044,0.0006,0.0499,0.1221,0.1725,34965,2,0.1218,0.0163,0.1381
er-dense n=120 p=0.5,120,3535,4,64,block,0,0.0044,0.0005,0.0565,0.1228,0.1798,34965,2,0.1225,0.0160,0.1385
er-dense n=120 p=0.5,120,3535,4,64,block,1,0.0044,0.0005,0.0613,0.1207,0.1825,34965,2,0.1204,0.0167,0.1370
er-dense n=120 p=0.5,120,3535,4,64,block,2,0.0044,0.0005,0.0556,0.1296,0.1857,34965,2,0.1293,0.0175,0.1468
er-dense n=120 p=0.5,120,3535,8,64,block,0,0.0044,0.0005,0.0719,0.1248,0.1972,34965,2,0.1242,0.0183,0.1424
er-dense n=120 p=0.5,120,3535,8,64,block,1,0.0044,0.0005,0.0667,0.1315,0.1986,34965,2,0.1310,0.0175,0.1486
er-dense n=120 p=0.5,120,3535,8,64,block,2,0.0044,0.0006,0.0793,0.1242,0.2040,34965,2,0.1238,0.0173,0.1411
moon-moser k=11 (n=33),33,495,1,64,block,0,0.0002,0.0001,0.0483,0.1634,0.2117,177147,1,0.1630,0.1630,0.1630
moon-moser k=11 (n=33),33,495,1,64,block,1,0.0002,0.0001,0.0456,0.1633,0.2090,177147,1,0.1629,0.1629,0.1629
moon-moser k=11 (n=33),33,495,1,64,block,2,0.0002,0.0001,0.0424,0.1639,0.2064,177147,1,0.1636,0.1636,0.1636
moon-moser k=11 (n=33),33,495,2,64,block,0,0.0002,0.0001,0.0476,0.1652,0.2129,177147,1,0.1648,0.1648,0.1648
moon-moser k=11 (n=33),33,495,2,64,block,1,0.0002,0.0001,0.0731,0.1650,0.2381,177147,1,0.1640,0.1640,0.1640
moon-moser k=11 (n=33),33,495,2,64,block,2,0.0002,0.0002,0.0637,0.1662,0.2300,177147,1,0.1658,0.1658,0.1658
moon-moser k=11 (n=33),33,495,4,64,block,0,0.0002,0.0002,0.0576,0.1683,0.2261,177147,1,0.1679,0.1679,0.1679
moon-moser k=11 (n=33),33,495,4,64,block,1,0.0002,0.0001,0.0511,0.1634,0.2146,177147,1,0.1630,0.1630,0.1630
moon-moser k=11 (n=33),33,495,4,64,block,2,0.0002,0.0001,0.0543,0.1643,0.2187,177147,1,0.1640,0.1640,0.1640
moon-moser k=11 (n=33),33,495,8,64,block,0,0.0002,0.0001,0.0665,0.1704,0.2370,177147,1,0.1693,0.1693,0.1693
moon-moser k=11 (n=33),33,495,8,64,block,1,0.0002,0.0001,0.0554,0.1697,0.2252,177147,1,0.1694,0.1694,0.1694
moon-moser k=11 (n=33),33,495,8,64,block,2,0.0002,0.0001,0.0666,0.1647,0.2314,177147,1,0.1627,0.1627,0.1627
ca-AstroPh.txt.gz,18772,198050,1,64,block,0,0.2967,0.0726,0.0933,1.0161,1.1819,36428,294,1.0100,1.0100,1.0100
ca-AstroPh.txt.gz,18772,198050,1,64,block,1,0.2967,0.0777,0.0934,1.0482,1.2193,36428,294,1.0411,1.0411,1.0411
ca-AstroPh.txt.gz,18772,198050,1,64,block,2,0.2967,0.0737,0.0912,1.0388,1.2037,36428,294,1.0312,1.0312,1.0312
ca-AstroPh.txt.gz,18772,198050,2,64,block,0,0.2967,0.0787,0.1637,0.5494,0.7919,36428,294,0.5452,0.5261,1.0713
ca-AstroPh.txt.gz,18772,198050,2,64,block,1,0.2967,0.0727,0.1610,0.5633,0.7970,36428,294,0.5532,0.5458,1.0990
ca-AstroPh.txt.gz,18772,198050,2,64,block,2,0.2967,0.0822,0.1602,0.5758,0.8183,36428,294,0.5709,0.5520,1.1229
ca-AstroPh.txt.gz,18772,198050,4,64,block,0,0.2967,0.0728,0.3406,0.3650,0.7784,36428,294,0.3614,0.3387,1.4129
ca-AstroPh.txt.gz,18772,198050,4,64,block,1,0.2967,0.0719,0.3268,0.3319,0.7305,36428,294,0.3244,0.3163,1.2830
ca-AstroPh.txt.gz,18772,198050,4,64,block,2,0.2967,0.0794,0.3254,0.3393,0.7441,36428,294,0.3362,0.3187,1.3173
ca-AstroPh.txt.gz,18772,198050,8,64,block,0,0.2967,0.0750,0.6519,0.2169,0.9438,36428,294,0.2144,0.1850,1.6217
ca-AstroPh.txt.gz,18772,198050,8,64,block,1,0.2967,0.0760,0.6535,0.2044,0.9339,36428,294,0.2018,0.1825,1.5537
ca-AstroPh.txt.gz,18772,198050,8,64,block,2,0.2967,0.0746,0.6451,0.2029,0.9227,36428,294,0.2008,0.1794,1.5325
ca-HepPh.txt.gz,12008,118489,1,64,block,0,0.1895,0.0400,0.0704,0.7864,0.8968,14939,188,0.7823,0.7823,0.7823
ca-HepPh.txt.gz,12008,118489,1,64,block,1,0.1895,0.0406,0.0683,0.7697,0.8786,14939,188,0.7661,0.7661,0.7661
ca-HepPh.txt.gz,12008,118489,1,64,block,2,0.1895,0.0415,0.0708,1.5466,1.6588,14939,188,1.5410,1.5410,1.5410
ca-HepPh.txt.gz,12008,118489,2,64,block,0,0.1895,0.0595,0.1997,0.7332,0.9925,14939,188,0.7248,0.7236,1.4484
ca-HepPh.txt.gz,12008,118489,2,64,block,1,0.1895,0.0466,0.1334,0.4279,0.6079,14939,188,0.4182,0.4167,0.8349
ca-HepPh.txt.gz,12008,118489,2,64,block,2,0.1895,0.0419,0.1342,0.4552,0.6313,14939,188,0.4469,0.4459,0.8929
ca-HepPh.txt.gz,12008,118489,4,64,block,0,0.1895,0.0410,0.2651,0.2780,0.5842,14939,188,0.2765,0.2156,0.9630
ca-HepPh.txt.gz,12008,118489,4,64,block,1,0.1895,0.0401,0.2659,0.2861,0.5921,14939,188,0.2845,0.2145,0.9570
ca-HepPh.txt.gz,12008,118489,4,64,block,2,0.1895,0.0435,0.2526,0.2883,0.5844,14939,188,0.2863,0.2344,1.0037
ca-HepPh.txt.gz,12008,118489,8,64,block,0,0.1895,0.0423,0.5142,0.2210,0.7776,14939,188,0.2185,0.0941,1.1218
ca-HepPh.txt.gz,12008,118489,8,64,block,1,0.1895,0.0423,0.5140,0.2489,0.8051,14939,188,0.2474,0.0871,1.1540
ca-HepPh.txt.gz,12008,118489,8,64,block,2,0.1895,0.0425,0.5179,0.2330,0.7934,14939,188,0.2312,0.0987,1.1552
soc-sign-epinions.txt.gz,131828,711210,1,64,block,0,0.7034,0.4323,0.2679,126.0061,126.7063,22226173,2060,125.9724,125.9724,125.9724
soc-sign-epinions.txt.gz,131828,711210,1,64,block,1,0.7034,0.5767,0.3584,185.1450,186.0801,22226173,2060,185.0830,185.0830,185.0830
soc-sign-epinions.txt.gz,131828,711210,1,64,block,2,0.7034,0.6243,0.3491,192.3071,193.2805,22226173,2060,192.2393,192.2393,192.2393
soc-sign-epinions.txt.gz,131828,711210,2,64,block,0,0.7034,0.6282,0.5923,108.1807,109.4011,22226173,2060,108.0509,98.4072,206.4581
soc-sign-epinions.txt.gz,131828,711210,2,64,block,1,0.7034,0.3749,0.3348,69.5195,70.2292,22226173,2060,69.5027,60.3743,129.8770
soc-sign-epinions.txt.gz,131828,711210,2,64,block,2,0.7034,0.3656,0.3380,65.8003,66.5038,22226173,2060,65.7361,56.7561,122.4922
soc-sign-epinions.txt.gz,131828,711210,4,64,block,0,0.7034,0.3854,0.6512,49.1590,50.1955,22226173,2060,49.1508,36.1391,166.9598
soc-sign-epinions.txt.gz,131828,711210,4,64,block,1,0.7034,0.3439,0.6388,48.8335,49.8163,22226173,2060,48.8253,35.7841,165.8117
soc-sign-epinions.txt.gz,131828,711210,4,64,block,2,0.7034,0.3395,0.6431,48.4186,49.4012,22226173,2060,48.4106,35.5875,164.5487
soc-sign-epinions.txt.gz,131828,711210,8,64,block,0,0.7034,0.3376,1.2731,36.1927,37.8034,22226173,2060,36.1776,11.7771,201.4983
soc-sign-epinions.txt.gz,131828,711210,8,64,block,1,0.7034,0.3409,1.2463,36.7521,38.3393,22226173,2060,36.7383,12.0171,205.5406
soc-sign-epinions.txt.gz,131828,711210,8,64,block,2,0.7034,0.3397,1.2610,44.1550,45.7557,22226173,2060,44.1437,14.2060,245.6404
